Ticker;Name
EOAN.DE;E.ON SE
WDI.DE;Wirecard AG
VNA.DE;Vonovia SE
BEI.DE;Beiersdorf Aktiengesellschaft
SAP.DE;SAP SE
DB1.DE;Deutsche Borse AG
DTE.DE;Deutsche Telekom AG
HEN3.DE;Henkel AG & Co. KGaA
FME.DE;Fresenius Medical Care AG & Co. KGaA
MRK.DE;MERCK Kommanditgesellschaft auf Aktien
FRE.DE;Fresenius SE & Co. KGaA
BMW.DE;Bayerische Motoren Werke AG
RWE.DE;RWE Aktiengesellschaft
1COV.DE;Covestro AG
DPW.DE;Deutsche Post AG
HEI.DE;HeidelbergCement AG
BAS.DE;BASF SE
SIE.DE;Siemens Aktiengesellschaft
ADS.DE;adidas AG
ALV.DE;Allianz SE
MUV2.DE;Munchener Ruckversicherungs-Gesellschaft Aktiengesellschaft
DBK.DE;Deutsche Bank Aktiengesellschaft
IFX.DE;Infineon Technologies AG
VOW3.DE;Volkswagen AG
LHA.DE;Deutsche Lufthansa AG
BAYN.DE;Bayer Aktiengesellschaft
LIN.DE;Linde plc
DAI.DE;Daimler AG
CON.DE;Continental Aktiengesellschaft
TKA.DE;thyssenkrupp AG
